Image,Nom,Description,Pouvoir,Niveau,PV,Att Phys,Def Phys,Att Mag,Def Mag,PA,PM,Initiative,XP,Butin,Localisation
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493622826443/univers/ludus/bestiaire/lezix.jpeg?height=200&width=149,Lesix,Petite créature inoffensive luminescente. Aussi inoffensive que difficile a attraper.,Fuit s'il fait 4 5 ou 6 à son tour de jeu. , 0,,1 ,1 , 1, 1,2 , 7, 100, 0,12 : Baie,Ludus
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493622860907/univers/ludus/bestiaire/Lipix.jpg?height=200&width=177, Lypix,Créature la plus chassée des débutants. , Fuit s'il fait 5 ou 6 à son tour de jeu., 0,, 1, 2, 1, 2, 3, 4, 110, 0,7 : Baie,Ludus
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1493622900705/univers/ludus/bestiaire/cerax.jpeg?height=200&width=149,Cerax,"La plus belle créature de Ludus, et certainement la plus rare"," En plus de son tour de jeu, la créature lance un dé, s'il fait 6 elle parvient a fuir.", 0,,2 ,3 ,2 , 3, 3, 4, 130, 0,"4 : Potion
12 : Herbe Médicinal",Ludus
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1600240508683/univers/ludus/bestiaire/wisp.jpg,Esprit de Feu Follet,"Être totalement inoffensif, contrairement au feu follet. Ces esprit sont plutôt joueur, ils font des aller retours en ligne droite à longueur de journée. Certains pnj les utilise pour des mécanisme cachant leur coffre.", Aucun, 0,, 1, 1, 1, 1, 1, 1, 10, 0,,Garriot
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1521997580623/univers/ludus/bestiaire/Oeuf%20de%20blob%20dragon.jpg?height=200&width=200,Oeuf de Blob Dragon,Oeuf étrange renfermant certainement une créature dangereuse.," Éclos s'il est dérangé : S'il est attaqué, s'il entend du bruit ou simplement s'il en a envie...Concentration(évolue en blob costaud)", 0,, 0, 50, 0, 50, 3, 0, 0, 1000,,Greyhawk
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461869922296/univers/ludus/bestiaire/champigoule.jpg?height=200&width=200,,," Peut empoisonner lors d'une attaque classique. Lancer un dé lors de l'attaque, s'il fait 6 l'avatar recevant l'attaque est empoisonné.", 1,, 4 ,1 ,1 , 5,3 , 3, 120,5,12 : venin,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461870925873/univers/ludus/bestiaire/lapincorne.jpg,Lapincorne,, Attaque uniquement avec des sorts., 1,, 3,2 , 3,2 , 3, 4,100 ,  5,12 : corne de licorne,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461870444116/univers/ludus/bestiaire/pataupe.jpg?height=200&width=200, Pataupe(Tôpapel),,"Peut obtenir l'état caché sous terre lors d'une attaque classique.Lancer un dé lors de l'attaque, s'il fait 4, 5 ou 6 le monstre obtient l'état caché sous terre.", 2,,4 ,2 , 1,1 , 3, 3,120 , 10,"5 : pelle cassé
9 : pelle cassé
12 : pelle du débutant",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461964974070/univers/ludus/bestiaire/vampivol.jpg,Vampivol(Sourivol),"Pas costaud, mais plus résistant qu'on pourrait s'y attendre", Les dégâts qu'il inflige le soignent. Peut attaquer magiquement mais ne se régénère pas.,2 ,, 4, 3, 3,3 , 3, 5, 150,8,5 : Aile de Chauve-souris,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1462102561575/univers/ludus/bestiaire/kobold.jpg?height=200&width=146,Kobold,Très grande population de Kobold sur Greyhawk, Peut utiliser une potion au cours d'un match., 3,, 12, 5, 1, 8, 5, 3, 110, 10,7 : 3 crédits,Greyhawk
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461965402483/univers/ludus/bestiaire/vampimage.jpg,Vampimage,Quelle drôle de couleur pour une chauve-souris !, Attaque uniquement avec des attaques magiques, 3,, 1,5, 10, 2, 3, 5, 150, 15,9 : Aile de Chauve-souris,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1461963710147/univers/ludus/bestiaire/rochexplosif.jpg,Rochexplosif,Rocher dangereux surtout si le combat s'éternise," Peut exploser à tout moment. Si il fait 6 lors de son attaque, il s'autodétruit en explosant, mais occasionne 10 de dommage à l'adversaire quelle que soit sa défense", 3,, 1,5, 1, 4, 3, 4, 100, 20,"4 : poudre à canon
10 : poudre à canon",
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1462557894109/univers/ludus/bestiaire/maransac.jpg?height=200&width=200,Maransac(Troussor),, Attaque deux fois, 3,, 5, 5, 5, 5, 6, 3, 100, 5,7 : 25 crédits,
https://sites.google.com/site/oasisfoyerstg/_/rsrc/1462126662474/univers/ludus/bestiaire/kobold2.jpg?height=200&width=161,,, , 4,, 15, 8, 4, 8, 5, 4, 130, 15,"3 Armure en Lanière de Cuir cassé
11 Armure en Lanière de Cuir cassé",
